movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_imdb_rating,movie_imdb_metascore,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
CAPTAIN AMERICA: THE FIRST AVENGER,"$140,000,000.00 ","$176,654,505.00 ","$370,569,776.00 ",scifi,6.9,66,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Johnston,Chris Evans,Hugo Weaving,Samuel L. Jackson,22-Jul,2011
LIMITLESS,"$27,000,000.00 ","$79,249,455.00 ","$155,564,919.00 ",scifi,7.4,59,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Neil Burger,Bradley Cooper,Anna Friel,Abbie Cornish,18-Mar,2011
MELANCHOLIA,"$9,400,000 ","$3,030,848 ","$21,817,298 ",scifi,7.1,80,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Lars von Trier,Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland,26-May,2011
SOURCE CODE,"$32,000,000 ","$54,712,227 ","$140,428,499 ",scifi,7.5,74,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Duncan Jones,Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,1-Apr,2011
SUPER 8,"$50,000,000.00 ","$127,004,179.00 ","$257,972,745.00 ",scifi,7,72,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,J.J. Abrams,Elle Fanning,AJ Michalka,Kyle Chandler,10-Jun,2011
TRANSFORMERS: DARK OF THE MOON,"$195,000,000.00 ","$352,390,543.00 ","$1,123,794,079.00 ",scifi,6.2,42,"https://m.media-amazon.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Michael Bay,Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson,29-Jun,2011
CLOUD ATLAS,"$102,000,000.00 ","$27,108,272.00 ","$130,673,154.00 ",scifi,7.4,55,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Lilly Wachowski,Tom Hanks,Halle Berry,Hugh Grant,26-Oct,2012
JOHN CARTER,"$263,700,000.00 ","$73,058,679.00 ","$282,778,100.00 ",scifi,6.6,51,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Andrew Stanton,Taylor Kitsch,Lynn Collins,Willem Dafoe,9-Mar,2012
LOOPER,"$30,000,000.00 ","$66,486,205.00 ","$170,466,405.00 ",scifi,7.4,84,"https://m.media-amazon.com/images/M/MV5BMTg5NTA3NTg4NF5BMl5BanBnXkFtZTcwNTA0NDYzOA@@._V1_UX67_CR0,0,67,98_AL_.jpg",Rian Johnson,Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,28-Sep,2012
PROMETHEUS,"$125,000,000.00 ","$126,477,084.00 ","$402,448,265.00 ",scifi,7,64,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Ridley Scott,Noomi Rapace,Logan Marshall-Green,Michael Fassbender,8-Jun,2012
