movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_tomato_audience,movie_tomato_tomatometer,movie_imdb_rating,movie_imdb_metascore,movie_average_score,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
CAPTAIN AMERICA: THE FIRST AVENGER,"$140,000,000.00 ","$176,654,505.00 ","$370,569,776.00 ",action,75,80,6.9,66,72.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Johnston,Chris Evans,Hugo Weaving,Samuel L. Jackson,22-Jul,2011
IRON MAN 3,"$200,000,000.00 ","$408,992,272.00 ","$1,215,392,272.00 ",action,78,79,7.1,62,72.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,3-May,2013
A MAN CALLED OTTO,"$50,000,000.00 ","$63,321,079.00 ","$106,679,918.00 ",comedy,97,69,7.5,51,73,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Marc Forster,Tom Hanks,Mariana Treviño,Rachel Keller,13-Jan,2023
AMERICAN PSYCHO,"$8,000,000 ","$15,070,285 ","$34,270,285 ",horror,85,68,7.6,64,73.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mary Harron,Christian Bale,Justin Theroux,Josh Lucas,14-Apr,2000
THE PLACE BEYOND THE PINES,"$15,000,000 ","$21,403,519 ","$47,011,449 ",crime,75,78,7.3,68,73.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Derek Cianfrance,Ryan Gosling,Bradley Cooper,Eva Mendes,19-Apr,2013
TROPIC THUNDER,"$90,000,000.00 ","$110,515,313.00 ","$191,145,256.00 ",action,71,82,7.1,71,73.75,"https://m.media-amazon.com/images/M/MV5BNDE5NjQzMDkzOF5BMl5BanBnXkFtZTcwODI3ODI3MQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",Ben Stiller,Ben Stiller,Jack Black,Robert Downey Jr.,13-Aug,2008
EMMA.,"$10,000,000 ","$10,055,355 ","$27,365,788 ",romance,72,86,6.7,71,74,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Autumn de Wilde,Anya Taylor-Joy,Johnny Flynn,Mia Goth,6-Mar,2020
FORGETTING SARAH MARSHALL,"$30,000,000.00 ","$63,172,463.00 ","$105,475,310.00 ",romance,76,83,7.1,67,74.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Nicholas Stoller,Kristen Bell,Jason Segel,Paul Rudd,18-Apr,2008
CINDERELLA,"$95,000,000.00 ","$201,151,353.00 ","$542,351,353.00 ",romance,78,83,6.9,67,74.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Kenneth Branagh,Lily James,Cate Blanchett,Richard Madden,13-Mar,2015
AVENGERS: AGE OF ULTRON,"$365,000,000.00 ","$459,005,868.00 ","$1,395,316,979.00 ",scifi,82,76,7.3,66,74.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,1-May,2015
